ZONE_NAME,ZONE_FID,DATE,YEAR,MONTH,WATER_YEAR,PPT,ETO,TMIN,TMAX,TMEAN
Field_1,1,1983-01-01,1983,1,1983,33.883709,27.469572,266.329071,279.606842,272.967957
Field_1,1,1983-02-01,1983,2,1983,23.439448,36.351968,267.566254,280.678955,274.122589
Field_1,1,1983-03-01,1983,3,1983,37.215333,56.223299,271.861755,283.212555,277.537140
Field_1,1,1983-04-01,1983,4,1983,18.968520,85.234897,271.122955,285.423340,278.273163
Field_1,1,1983-05-01,1983,5,1983,12.445962,134.701358,275.001831,293.289307,284.145569
Field_1,1,1983-06-01,1983,6,1983,22.095899,174.598854,278.859894,299.315216,289.087555
Field_1,1,1983-07-01,1983,7,1983,0.000000,218.570621,280.273254,304.568176,292.420715
Field_1,1,1983-08-01,1983,8,1983,58.821034,164.930738,283.534912,303.724182,293.629547
Field_1,1,1983-09-01,1983,9,1983,34.460166,142.743030,278.098938,299.917145,289.008057
Field_1,1,1983-10-01,1983,10,1984,30.493070,73.616190,273.042389,292.903290,282.972839
Field_1,1,1983-11-01,1983,11,1984,40.061299,36.683419,269.599792,281.963043,275.781403
Field_1,1,1983-12-01,1983,12,1984,83.245445,24.497107,267.326935,276.738586,272.032776
Field_1,1,1984-01-01,1984,1,1984,2.109373,19.461262,260.696198,274.253540,267.474884
Field_1,1,1984-02-01,1984,2,1984,16.559090,35.544023,263.691742,278.800934,271.246338
Field_1,1,1984-03-01,1984,3,1984,13.906736,58.527840,268.868225,282.689362,275.778778
Field_1,1,1984-04-01,1984,4,1984,23.884319,91.503643,271.677094,285.844727,278.760895
Field_1,1,1984-05-01,1984,5,1984,8.796195,158.061504,276.996796,295.505341,286.251068
Field_1,1,1984-06-01,1984,6,1984,33.740148,160.890526,278.358459,298.296936,288.327698
Field_1,1,1984-07-01,1984,7,1984,15.907522,207.732186,283.947510,306.527557,295.237549
Field_1,1,1984-08-01,1984,8,1984,24.667526,179.090426,283.208954,304.774231,293.991577
Field_1,1,1984-09-01,1984,9,1984,4.554405,142.886172,276.415100,300.512695,288.463898
Field_1,1,1984-10-01,1984,10,1985,44.902414,65.220982,270.167419,286.830688,278.499054
Field_1,1,1984-11-01,1984,11,1985,25.927869,43.568258,269.125916,282.164307,275.645111
Field_1,1,1984-12-01,1984,12,1985,8.569132,23.015650,259.878143,275.509613,267.693878
Field_1,1,1985-01-01,1985,1,1985,11.403718,20.048140,258.346710,274.630890,266.488800
Field_1,1,1985-02-01,1985,2,1985,5.256258,35.381771,262.341309,278.551605,270.446442
Field_1,1,1985-03-01,1985,3,1985,22.694514,63.150878,266.780823,282.469574,274.625183
Field_1,1,1985-04-01,1985,4,1985,0.543236,126.004738,272.837219,292.919861,282.878540
Field_1,1,1985-05-01,1985,5,1985,17.971232,158.435332,275.290588,295.776337,285.533478
Field_1,1,1985-06-01,1985,6,1985,5.963228,206.681288,280.371521,303.668640,292.020081
Field_1,1,1985-07-01,1985,7,1985,14.738704,212.664184,284.299133,307.584991,295.942047
Field_1,1,1985-08-01,1985,8,1985,0.000000,208.946409,279.285614,304.684967,291.985291
Field_1,1,1985-09-01,1985,9,1985,31.439238,120.547513,274.438263,296.055878,285.247070
Field_1,1,1985-10-01,1985,10,1986,12.909841,83.906838,269.767822,291.268555,280.518188
Field_1,1,1985-11-01,1985,11,1986,38.104086,33.262396,265.287598,279.203552,272.245575
Field_1,1,1985-12-01,1985,12,1986,23.534664,20.003898,262.052765,276.355164,269.203979
Field_1,1,1986-01-01,1986,1,1986,2.440551,37.447256,267.897949,281.518585,274.708282
Field_1,1,1986-02-01,1986,2,1986,17.397669,47.498315,270.494873,283.012299,276.753601
Field_1,1,1986-03-01,1986,3,1986,8.188302,84.222980,271.907379,288.330139,280.118774
Field_1,1,1986-04-01,1986,4,1986,33.052085,107.131155,272.615204,289.239502,280.927368
Field_1,1,1986-05-01,1986,5,1986,19.195710,156.219983,275.127075,295.558044,285.342560
Field_1,1,1986-06-01,1986,6,1986,5.663081,207.633371,280.463257,304.346466,292.404846
Field_1,1,1986-07-01,1986,7,1986,5.075358,220.397322,281.226807,304.923309,293.075073
Field_1,1,1986-08-01,1986,8,1986,5.648139,201.994734,282.649658,306.802704,294.726166
