ZONE_NAME,ZONE_FID,DATE,SCENE_ID,PLATFORM,PATH,ROW,YEAR,MONTH,DAY,DOY,AREA,PIXEL_SIZE,PIXEL_COUNT,PIXEL_TOTAL,FMASK_COUNT,FMASK_TOTAL,FMASK_PCT,CLOUD_SCORE,QA,ALBEDO_SUR,EVI_SUR,NDVI_SUR,NDVI_TOA,TS
Field_2,2,1999-01-15,LT05_041XXX_19990115,LT05,41,32.0,1999,1,15,15,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,99.823964,0.0,0.383239,0.085707,0.044689,0.055574,247.608599
Field_2,2,1999-03-20,LT05_041XXX_19990320,LT05,41,32.0,1999,3,20,79,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,73.285387,0.0,0.279590,0.115377,0.092018,0.096341,259.900621
Field_2,2,1999-04-21,LT05_041XXX_19990421,LT05,41,32.0,1999,4,21,111,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,0.888184,-0.004800,0.008008,0.015304,232.930746
Field_2,2,1999-05-07,LT05_041XXX_19990507,LT05,41,32.0,1999,5,7,127,499470.0,30.0,554.7882352941176,604.0,383.192156862745,604.0,63.442410,15.582649,0.0,0.184800,0.335532,0.440770,0.400347,292.229386
Field_2,2,1999-05-23,LT05_041XXX_19990523,LT05,41,32.0,1999,5,23,143,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.683744,0.0,0.181749,0.452730,0.584200,0.547841,303.783635
Field_2,2,1999-06-08,LT05_041XXX_19990608,LT05,41,32.0,1999,6,8,159,499470.0,30.0,554.7882352941176,604.0,186.17647058823533,604.0,30.823919,8.609609,0.0,0.209872,0.593492,0.672548,0.634694,293.139678
Field_2,2,1999-06-24,LT05_041XXX_19990624,LT05,41,32.0,1999,6,24,175,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,20.271822,0.0,0.156224,0.209730,0.329966,0.282195,297.952579
Field_2,2,1999-07-02,LE07_041XXX_19990702,LE07,41,32.0,1999,7,2,183,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.005407,0.0,0.199662,0.260365,0.363737,0.345099,309.083220
Field_2,2,1999-07-18,LE07_041XXX_19990718,LE07,41,32.0,1999,7,18,199,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.000000,0.0,0.200822,0.733238,0.812244,0.769470,303.330602
Field_2,2,1999-07-26,LT05_041XXX_19990726,LT05,41,32.0,1999,7,26,207,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.000000,0.0,0.215699,0.780981,0.814384,0.775404,303.212545
Field_2,2,1999-08-03,LE07_041XXX_19990803,LE07,41,32.0,1999,8,3,215,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,1.521412,0.000000,0.000000,0.188931,256.350323
Field_2,2,1999-08-11,LT05_041XXX_19990811,LT05,41,32.0,1999,8,11,223,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,1.529566,0.000000,0.000000,0.093987,260.647462
Field_2,2,1999-08-19,LE07_041XXX_19990819,LE07,41,32.0,1999,8,19,231,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.000000,0.0,0.189555,0.669939,0.785879,0.735739,303.435932
Field_2,2,1999-08-27,LT05_041XXX_19990827,LT05,41,32.0,1999,8,27,239,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,91.311590,0.0,0.358506,0.182976,0.097715,0.089787,246.046061
Field_2,2,1999-09-04,LE07_041XXX_19990904,LE07,41,32.0,1999,9,4,247,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,1.217705,0.0,0.199224,0.347208,0.459660,0.440638,305.551676
Field_2,2,1999-09-12,LT05_041XXX_19990912,LT05,41,32.0,1999,9,12,255,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,1.140976,0.0,0.209067,0.306646,0.401195,0.383520,306.640587
Field_2,2,1999-09-20,LE07_041XXX_19990920,LE07,41,32.0,1999,9,20,263,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,1.619441,0.0,0.180032,0.406379,0.551124,0.508789,301.027035
Field_2,2,1999-09-28,LT05_041XXX_19990928,LT05,41,32.0,1999,9,28,271,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,1.181019,0.0,0.177677,0.484767,0.634361,0.592376,293.477275
Field_2,2,1999-10-14,LT05_041XXX_19991014,LT05,41,32.0,1999,10,14,287,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,0.418616,0.143306,0.065608,0.070433,224.686155
Field_2,2,1999-10-22,LE07_041XXX_19991022,LE07,41,32.0,1999,10,22,295,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,1.376862,0.0,0.176667,0.448159,0.599122,0.564199,295.822782
Field_2,2,1999-10-30,LT05_041XXX_19991030,LT05,41,32.0,1999,10,30,303,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,4.131045,0.0,0.178026,0.403575,0.545213,0.507186,287.916162
Field_2,2,1999-11-07,LE07_041XXX_19991107,LE07,41,32.0,1999,11,7,311,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,6.801917,0.0,0.190003,0.397316,0.518751,0.492031,292.464293
Field_2,2,1999-11-15,LT05_041XXX_19991115,LT05,41,32.0,1999,11,15,319,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,98.066607,0.0,0.820929,-0.015489,-0.008417,0.003491,244.885409
Field_2,2,1999-11-23,LE07_041XXX_19991123,LE07,41,32.0,1999,11,23,327,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,15.220109,0.0,0.196167,0.207366,0.296037,0.288676,276.979894
Field_2,2,1999-12-09,LE07_041XXX_19991209,LE07,41,32.0,1999,12,9,343,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,99.963653,0.0,0.443830,0.019725,0.007023,0.028465,238.982913
Field_2,2,1999-12-17,LT05_041XXX_19991217,LT05,41,32.0,1999,12,17,351,499470.0,30.0,554.7882352941176,604.0,543.4274509803921,604.0,89.971432,62.988895,0.0,0.330695,0.159877,0.156043,0.165047,266.656451
Field_2,2,1999-12-25,LE07_041XXX_19991225,LE07,41,32.0,1999,12,25,359,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,24.465940,0.0,0.215844,0.131517,0.185393,0.188264,278.223854
Field_2,2,2000-01-02,LT05_041XXX_20000102,LT05,41,32.0,2000,1,2,2,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,43.599197,0.0,0.247183,0.112842,0.133914,0.147284,271.603509
Field_2,2,2000-01-10,LE07_041XXX_20000110,LE07,41,32.0,2000,1,10,10,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,99.097221,0.0,0.484240,-0.068981,-0.015568,0.003245,250.008524
Field_2,2,2000-01-18,LT05_041XXX_20000118,LT05,41,32.0,2000,1,18,18,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,0.823759,0.025698,0.009405,0.015034,237.466347
Field_2,2,2000-01-26,LE07_041XXX_20000126,LE07,41,32.0,2000,1,26,26,499470.0,30.0,554.7882352941176,604.0,106.17647058823529,604.0,17.578886,3.565777,0.0,0.071489,0.047898,0.116221,0.038075,274.096354
Field_2,2,2000-02-03,LT05_041XXX_20000203,LT05,41,32.0,2000,2,3,34,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,0.441537,0.017998,0.007626,0.030703,231.611789
Field_2,2,2000-02-11,LE07_041XXX_20000211,LE07,41,32.0,2000,2,11,42,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,0.426059,0.057433,0.027875,0.046637,243.896095
Field_2,2,2000-02-19,LT05_041XXX_20000219,LT05,41,32.0,2000,2,19,50,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,18.115253,0.0,0.168837,0.124990,0.190937,0.186738,275.868869
Field_2,2,2000-03-06,LT05_041XXX_20000306,LT05,41,32.0,2000,3,6,66,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,0.950924,0.012184,-0.015051,0.001824,222.880966
Field_2,2,2000-03-14,LE07_041XXX_20000314,LE07,41,32.0,2000,3,14,74,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,94.235928,0.0,0.329911,0.086950,0.052393,0.060106,251.268122
Field_2,2,2000-03-30,LE07_041XXX_20000330,LE07,41,32.0,2000,3,30,90,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,17.089036,0.0,0.207262,0.239707,0.319873,0.311591,294.968660
Field_2,2,2000-04-15,LE07_041XXX_20000415,LE07,41,32.0,2000,4,15,106,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,12.526405,0.0,0.190348,0.420883,0.534629,0.474723,286.466556
Field_2,2,2000-04-23,LT05_041XXX_20000423,LT05,41,32.0,2000,4,23,114,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,99.972963,0.0,0.917594,0.237253,0.033599,0.071283,262.381519
Field_2,2,2000-05-01,LE07_041XXX_20000501,LE07,41,32.0,2000,5,1,122,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.034375,0.0,0.186644,0.609777,0.735085,0.686956,299.138311
Field_2,2,2000-05-09,LT05_041XXX_20000509,LT05,41,32.0,2000,5,9,130,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,0.982757,1.825658,-0.193871,0.021024,250.730285
Field_2,2,2000-05-17,LE07_041XXX_20000517,LE07,41,32.0,2000,5,17,138,499470.0,30.0,554.7882352941176,604.0,554.7882352941176,604.0,91.852357,100.000000,0.0,1.212715,3.049443,-0.273341,0.361370,241.370252
Field_2,2,2000-05-25,LT05_041XXX_20000525,LT05,41,32.0,2000,5,25,146,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.402740,0.0,0.204461,0.648748,0.742019,0.680615,298.067322
Field_2,2,2000-06-02,LE07_041XXX_20000602,LE07,41,32.0,2000,6,2,154,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.000000,0.0,0.180825,0.594030,0.736848,0.690715,304.368300
Field_2,2,2000-06-10,LT05_041XXX_20000610,LT05,41,32.0,2000,6,10,162,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,15.676372,0.0,0.218659,0.550311,0.580336,0.549676,285.762824
Field_2,2,2000-06-18,LE07_041XXX_20000618,LE07,41,32.0,2000,6,18,170,499470.0,30.0,554.7882352941176,604.0,501.7647058823527,604.0,83.073627,7.157919,0.0,0.198910,0.633769,0.694408,0.640746,298.116073
Field_2,2,2000-06-26,LT05_041XXX_20000626,LT05,41,32.0,2000,6,26,178,499470.0,30.0,554.7882352941176,604.0,0.0,604.0,0.000000,0.000000,0.0,0.219444,0.252331,0.331033,0.307037,311.736600
